Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,U.s. political affiliation,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65623203d6a4ad5c96c5a38b,640d43c9451ce148162a7643,APPROVED,2023-11-25T17:42:31.405000Z,2023-11-25T17:48:03.213000Z,2023-11-25T17:48:03.820000Z,2023-11-25T17:48:03.751955Z,332.0,C871QPIG,2214,Republican,English,48,Male,White,United States,United States,United States,English,No,Full-Time
65623208af788989fed635ab,5bc9206a66d04800015cf314,APPROVED,2023-11-25T17:42:38.224000Z,2023-11-25T18:09:37.863000Z,2023-11-25T18:09:38.394000Z,2023-11-25T18:09:38.329960Z,1620.0,C871QPIG,2272,Republican,English,39,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
6562320bba9e145a221ed523,6462ad7a6af483d279eefb98,APPROVED,2023-11-25T17:42:49.468000Z,2023-11-25T17:47:14.402000Z,2023-11-25T17:47:14.939000Z,2023-11-25T17:47:14.875360Z,265.0,C871QPIG,990,Republican,"English, French",50,Male,Black,United States,United States,United States,English,DATA_EXPIRED,Unemployed (and job seeking)
6562320fb59385931130359e,638468d6652b6288319b9c4f,APPROVED,2023-11-25T17:42:52.069000Z,2023-11-25T17:52:02.582000Z,2023-11-25T17:52:03.124000Z,2023-11-25T17:52:03.043149Z,551.0,C871QPIG,1506,Republican,English,51,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6562321119bb4cecffc7e713,63804d105c37525d499b9c6c,APPROVED,2023-11-25T17:42:45.420000Z,2023-11-25T17:51:05.257000Z,2023-11-25T17:51:05.871000Z,2023-11-25T17:51:05.776138Z,500.0,C871QPIG,2530,Republican,English,60,Female,Asian,United States,United States,United States,English,No,Unemployed (and job seeking)
656232246c7549dfa0c5c615,5e9746fb1eed951eed404015,APPROVED,2023-11-25T17:43:05.659000Z,2023-11-25T17:49:11.036000Z,2023-11-25T17:49:11.577000Z,2023-11-25T17:49:11.517920Z,366.0,C871QPIG,4145,Republican,English,31,Female,Other,United States,United States,United States,English,No,Full-Time
6562322aed7a09c1aec5a25f,64356a3c3a7e7f1170215972,APPROVED,2023-11-25T17:43:16.783000Z,2023-11-25T17:57:15.569000Z,2023-11-25T17:57:16.169000Z,2023-11-25T17:57:16.099158Z,839.0,C871QPIG,507,Republican,English,50,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6562323162f94e46115f9a24,5dd3dc145e91193b816a60e1,APPROVED,2023-11-25T17:43:18.382000Z,2023-11-25T17:53:30.378000Z,2023-11-25T17:53:30.858000Z,2023-11-25T17:53:30.785604Z,612.0,C871QPIG,6095,Republican,English,57,Male,White,United States,United States,United States,English,No,Full-Time
656232385b88c55ff4e8f5bc,60d66ec4a3c13ac0f607e7d9,APPROVED,2023-11-25T17:43:27.896000Z,2023-11-25T17:50:51.675000Z,2023-11-25T17:50:52.283000Z,2023-11-25T17:50:52.203398Z,444.0,C871QPIG,2347,Republican,English,35,Female,White,United States,United States,United States,English,No,Full-Time
6562324ab7c75898d1475b5d,5c3c7913b4f22c0001a0809c,APPROVED,2023-11-25T17:43:47.854000Z,2023-11-25T17:48:39.177000Z,2023-11-25T17:48:39.733000Z,2023-11-25T17:48:39.662799Z,292.0,C871QPIG,7449,Republican,English,71,Male,White,United States,United States,United States,English,No,Full-Time
